['4174004285722', '59', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Дзун-Хемчикская (по округу №9)', 'УИК №59', '1799', '1450', '9', '798', '21', '622', '21', '807', '85', '743', '0', '0', '117', '9', '25', '565', '27']
['4174004285724', '64', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Дзун-Хемчикская (по округу №9)', 'УИК №64', '518', '621', '0', '372', '27', '222', '27', '372', '14', '385', '0', '0', '38', '5', '16', '323', '3']
['4174004285728', '67', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Дзун-Хемчикская (по округу №9)', 'УИК №67', '1064', '1082', '0', '561', '136', '385', '136', '561', '7', '690', '0', '0', '70', '7', '25', '579', '9']
['4174004285730', '68', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Дзун-Хемчикская (по округу №9)', 'УИК №68', '454', '520', '55', '371', '28', '66', '83', '371', '11', '443', '0', '0', '16', '2', '1', '422', '2']
['4174004285732', '69', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Дзун-Хемчикская (по округу №9)', 'УИК №69', '556', '797', '0', '327', '123', '347', '123', '327', '5', '445', '0', '0', '52', '1', '12', '370', '10']
['4174004285734', '70', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Дзун-Хемчикская (по округу №9)', 'УИК №70', '132', '134', '75', '57', '0', '2', '75', '57', '0', '132', '0', '0', '0', '1', '1', '130', '0']
['4174004285704', '60', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Дзун-Хемчикская (по округу №10)', 'УИК №60', '426', '494', '0', '341', '85', '68', '85', '341', '0', '426', '0', '0', '12', '0', '0', '412', '2']
['4174004285706', '61', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Дзун-Хемчикская (по округу №10)', 'УИК №61', '277', '391', '53', '155', '9', '173', '62', '155', '0', '217', '1', '0', '9', '1', '2', '202', '3']
['4174004285708', '62', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Дзун-Хемчикская (по округу №10)', 'УИК №62', '739', '875', '0', '688', '42', '145', '42', '688', '0', '730', '0', '0', '23', '0', '0', '707', '0']
['4174004285710', '63', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Дзун-Хемчикская (по округу №10)', 'УИК №63', '609', '865', '0', '408', '162', '295', '162', '408', '16', '554', '0', '0', '57', '7', '24', '456', '10']
['4174004285712', '65', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Дзун-Хемчикская (по округу №10)', 'УИК №65', '296', '296', '0', '254', '42', '0', '42', '254', '0', '296', '0', '0', '21', '2', '7', '262', '4']
['4174004285714', '66', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Дзун-Хемчикская (по округу №10)', 'УИК №66', '745', '1016', '0', '515', '68', '433', '68', '515', '0', '583', '0', '0', '47', '7', '11', '503', '15']
['4174005250429', '71', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Каа-Хемская (по округу №15)', 'УИК №71', '491', '533', '59', '418', '14', '42', '73', '416', '7', '482', '0', '0', '2', '0', '47', '433', '0']
['4174005250430', '72', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Каа-Хемская (по округу №15)', 'УИК №72', '556', '600', '85', '409', '62', '44', '147', '409', '7', '549', '0', '0', '27', '15', '21', '471', '15']
['4174005250431', '73', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Каа-Хемская (по округу №15)', 'УИК №73', '415', '420', '67', '316', '16', '21', '83', '316', '4', '395', '0', '0', '16', '9', '11', '343', '16']
['4174005250432', '74', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Каа-Хемская (по округу №15)', 'УИК №74', '390', '415', '46', '252', '22', '95', '68', '252', '7', '313', '0', '0', '46', '12', '24', '222', '9']
['4174005250433', '75', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Каа-Хемская (по округу №15)', 'УИК №75', '268', '265', '0', '202', '30', '33', '30', '202', '0', '232', '0', '0', '4', '3', '5', '217', '3']
['4174005250434', '76', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Каа-Хемская (по округу №15)', 'УИК №76', '1699', '1500', '0', '1024', '264', '212', '264', '1024', '54', '1234', '0', '0', '168', '48', '82', '824', '112']
